# Menlo Systems GmbH TERAScan++
# Program Version 1.0.96
# Start: 4498 ps, Average over 67108 waveforms. Timestamp: 2018-03-03T16:19:14
# Window type: Tukey, parameters: alpha = 0.1
# Time [ps]	THz Signal [a.u.]
4509.25	-0.27768104
4509.3	-0.15811733
4509.35	-0.28416491
4509.4	-0.15760937
4509.45	-0.28942323
4509.5	-0.1781724
4509.55	-0.31292442
4509.6	-0.20192598
4509.65	-0.33742879
4509.7	-0.2307014
4509.75	-0.37291319
4509.8	-0.25688472
4509.85	-0.39158717
4509.9	-0.28948098
4509.95	-0.42951859
4510	-0.30851104
4510.05	-0.43793607
4510.1	-0.31831643
4510.15	-0.44684605
4510.2	-0.32025913
4510.25	-0.44693655
4510.3	-0.32617411
4510.35	-0.45032401
4510.4	-0.32062293
4510.45	-0.44469643
4510.5	-0.31808859
4510.55	-0.43687377
4510.6	-0.31748423
4510.65	-0.44712936
4510.7	-0.31539418
4510.75	-0.42961227
4510.8	-0.29889801
4510.85	-0.40872727
4510.9	-0.25839678
4510.95	-0.3588454
4511	-0.21487099
4511.05	-0.31897809
4511.1	-0.17957213
4511.15	-0.2963
4511.2	-0.16695046
4511.25	-0.27612715
4511.3	-0.13245606
4511.35	-0.24513709
4511.4	-0.096798863
4511.45	-0.19377726
4511.5	-0.038190725
4511.55	-0.13674666
4511.6	0.021276442
4511.65	-0.07810123
4511.7	0.072182426
4511.75	-0.041537708
4511.8	0.099396677
4511.85	-0.0037186127
4511.9	0.15295614
4511.95	0.048563909
4512	0.19803401
4512.05	0.094371199
4512.1	0.2333556
4512.15	0.1241689
4512.2	0.26377541
4512.25	0.16131587
4512.3	0.31310112
4512.35	0.20874118
4512.4	0.36922495
4512.45	0.28337391
4512.5	0.44521193
4512.55	0.35376379
4512.6	0.50917343
4512.65	0.40943832
4512.7	0.54795342
4512.75	0.44006458
4512.8	0.5859917
4512.85	0.46039069
4512.9	0.57989983
4512.95	0.46013284
4513	0.58856606
4513.05	0.4604157
4513.1	0.58526228
4513.15	0.46784182
4513.2	0.588044
4513.25	0.46082952
4513.3	0.58095804
4513.35	0.44606732
4513.4	0.55159053
4513.45	0.41812592
4513.5	0.53869282
4513.55	0.40660657
4513.6	0.52061638
4513.65	0.37364151
4513.7	0.47925248
4513.75	0.32821712
4513.8	0.41893084
4513.85	0.2604066
4513.9	0.33554911
4513.95	0.14019759
4514	0.19695215
4514.05	0.014099073
4514.1	0.070441631
4514.15	-0.13866162
4514.2	-0.095633331
4514.25	-0.29202078
4514.3	-0.23855408
4514.35	-0.42705201
4514.4	-0.35659846
4514.45	-0.52243968
4514.5	-0.41491601
4514.55	-0.538658
4514.6	-0.38416787
4514.65	-0.44774828
4514.7	-0.2331557
4514.75	-0.24630671
4514.8	0.019519276
4514.85	0.064694005
4514.9	0.3803855
4514.95	0.45462851
4515	0.76291025
4515.05	0.80774801
4515.1	1.0726304
4515.15	1.0372383
4515.2	1.215758
4515.25	1.0964881
4515.3	1.1699298
4515.35	0.92495747
4515.4	0.87466222
4515.45	0.51659136
4515.5	0.34376513
4515.55	-0.12251834
4515.6	-0.37001823
4515.65	-0.89094939
4515.7	-1.1693411
4515.75	-1.6883064
4515.8	-1.9375189
4515.85	-2.4256451
4515.9	-2.6447233
4515.95	-3.0776893
4516	-3.2285846
4516.05	-3.5936127
4516.1	-3.6661895
4516.15	-3.9487618
4516.2	-3.9559583
4516.25	-4.1951052
4516.3	-4.1552084
4516.35	-4.3518655
4516.4	-4.2970568
4516.45	-4.4823842
4516.5	-4.4130539
4516.55	-4.6039334
4516.6	-4.5344521
4516.65	-4.7119577
4516.7	-4.6539171
4516.75	-4.8511668
4516.8	-4.7854618
