# Menlo Systems GmbH TERAScan++
# Program Version 1.0.96
# Start: 3242 ps, Average over 67108 waveforms. Timestamp: 2017-10-16T15:54:40
# Window type: Tukey, parameters: alpha = 0.1
# Time [ps]	THz Signal [a.u.]
3255	-2.629939
3255.05	-2.720348
3255.1	-2.7910744
3255.15	-2.8246961
3255.2	-2.8433328
3255.25	-2.8415443
3255.3	-2.8380245
3255.35	-2.8233741
3255.4	-2.8141399
3255.45	-2.8012586
3255.5	-2.7951553
3255.55	-2.7792049
3255.6	-2.7648128
3255.65	-2.7494972
3255.7	-2.7452262
3255.75	-2.7270711
3255.8	-2.7191697
3255.85	-2.7053539
3255.9	-2.6968486
3255.95	-2.678131
3256	-2.6688431
3256.05	-2.6583474
3256.1	-2.6483678
3256.15	-2.6411436
3256.2	-2.6431113
3256.25	-2.6450086
3256.3	-2.6535493
3256.35	-2.6659813
3256.4	-2.688191
3256.45	-2.7105294
3256.5	-2.7376045
3256.55	-2.7595359
3256.6	-2.7844245
3256.65	-2.79639
3256.7	-2.8118398
3256.75	-2.8070021
3256.8	-2.8123559
3256.85	-2.8099403
3256.9	-2.8096697
3256.95	-2.8093205
3257	-2.8080762
3257.05	-2.8088871
3257.1	-2.8091158
3257.15	-2.8086806
3257.2	-2.8206802
3257.25	-2.8388585
3257.3	-2.8718176
3257.35	-2.9097218
3257.4	-2.9580843
3257.45	-3.0089876
3257.5	-3.0794179
3257.55	-3.1547901
3257.6	-3.2405493
3257.65	-3.3218109
3257.7	-3.4100431
3257.75	-3.4866508
3257.8	-3.5692986
3257.85	-3.6414838
3257.9	-3.7121152
3257.95	-3.7668511
3258	-3.8083846
3258.05	-3.81922
3258.1	-3.8030567
3258.15	-3.7463144
3258.2	-3.6506507
3258.25	-3.5119837
3258.3	-3.3369374
3258.35	-3.1123885
3258.4	-2.8566466
3258.45	-2.5618529
3258.5	-2.2543178
3258.55	-1.9348023
3258.6	-1.615983
3258.65	-1.2886548
3258.7	-0.99373829
3258.75	-0.73275497
3258.8	-0.53204555
3258.85	-0.41422536
3258.9	-0.40774376
3258.95	-0.51870536
3259	-0.76724391
3259.05	-1.143785
3259.1	-1.6603105
3259.15	-2.2935557
3259.2	-3.0393746
3259.25	-3.8624811
3259.3	-4.7631212
3259.35	-5.6964831
3259.4	-6.6506476
3259.45	-7.580703
3259.5	-8.485514
3259.55	-9.3527279
3259.6	-10.161376
3259.65	-10.921589
3259.7	-11.636083
3259.75	-12.304275
3259.8	-12.944265
3259.85	-13.554036
3259.9	-14.153324
3259.95	-14.746875
3260	-15.35921
3260.05	-15.990907
3260.1	-16.66641
3260.15	-17.379109
3260.2	-18.152822
3260.25	-18.974874
3260.3	-19.845626
3260.35	-20.764374
3260.4	-21.750859
3260.45	-22.7926
3260.5	-23.90683
3260.55	-25.067533
3260.6	-26.293589
3260.65	-27.577182
3260.7	-28.949823
3260.75	-30.407492
3260.8	-31.965366
3260.85	-33.616461
3260.9	-35.380061
3260.95	-37.257976
3261	-39.24477
3261.05	-41.317678
3261.1	-43.439611
3261.15	-45.516879
3261.2	-47.420204
3261.25	-48.924545
3261.3	-49.713693
3261.35	-49.288555
3261.4	-47.009401
3261.45	-41.980762
3261.5	-33.09006
3261.55	-18.993011
3261.6	1.7427077
3261.65	30.520052
3261.7	68.446068
3261.75	116.04126
3261.8	172.93037
3261.85	237.6251
3261.9	307.39614
3261.95	378.41699
3262	446.02008
3262.05	505.21795
3262.1	551.21321
3262.15	579.96173
3262.2	588.57731
3262.25	575.64272
3262.3	541.28168
3262.35	487.14807
3262.4	416.14032
3262.45	332.13086
3262.5	239.55838
3262.55	143.05095
3262.6	47.0342
3262.65	-44.488248
3262.7	-128.232
