# Menlo Systems GmbH TERAScan++
# Program Version 1.0.96
# Start: 3242 ps, Average over 67108 waveforms. Timestamp: 2017-10-16T15:40:38
# Window type: Tukey, parameters: alpha = 0.1
# Time [ps]	THz Signal [a.u.]
3255.2	0.065782181
3255.25	0.49079453
3255.3	0.91493648
3255.35	1.3274481
3255.4	1.6998351
3255.45	2.0124315
3255.5	2.2348899
3255.55	2.3779453
3255.6	2.433653
3255.65	2.399592
3255.7	2.2720456
3255.75	2.0706504
3255.8	1.805969
3255.85	1.4867945
3255.9	1.1286841
3255.95	0.75167462
3256	0.36649456
3256.05	-0.0058050683
3256.1	-0.37218108
3256.15	-0.70901314
3256.2	-1.0301412
3256.25	-1.3050586
3256.3	-1.5577954
3256.35	-1.7620515
3256.4	-1.933694
3256.45	-2.0626511
3256.5	-2.1678792
3256.55	-2.2346915
3256.6	-2.273044
3256.65	-2.2838972
3256.7	-2.2770881
3256.75	-2.2499712
3256.8	-2.2284023
3256.85	-2.203404
3256.9	-2.1932421
3256.95	-2.1803972
3257	-2.1718073
3257.05	-2.1620624
3257.1	-2.1576941
3257.15	-2.142961
3257.2	-2.1371538
3257.25	-2.1329268
3257.3	-2.1321924
3257.35	-2.1114097
3257.4	-2.0969127
3257.45	-2.0828399
3257.5	-2.0748739
3257.55	-2.0649894
3257.6	-2.0689626
3257.65	-2.0733792
3257.7	-2.0865984
3257.75	-2.0943519
3257.8	-2.1051496
3257.85	-2.1114093
3257.9	-2.1220714
3257.95	-2.1321651
3258	-2.1499055
3258.05	-2.1702125
3258.1	-2.1909101
3258.15	-2.1981157
3258.2	-2.2030298
3258.25	-2.2006664
3258.3	-2.197962
3258.35	-2.1912817
3258.4	-2.1961412
3258.45	-2.2011062
3258.5	-2.2007151
3258.55	-2.1994218
3258.6	-2.2128224
3258.65	-2.233762
3258.7	-2.2662068
3258.75	-2.303593
3258.8	-2.3523543
3258.85	-2.4006137
3258.9	-2.4682973
3258.95	-2.5362693
3259	-2.6043995
3259.05	-2.6742446
3259.1	-2.752876
3259.15	-2.8294641
3259.2	-2.9091169
3259.25	-2.9859738
3259.3	-3.0694147
3259.35	-3.1403725
3259.4	-3.2081635
3259.45	-3.2609003
3259.5	-3.2943079
3259.55	-3.2900309
3259.6	-3.2556052
3259.65	-3.1698642
3259.7	-3.0500767
3259.75	-2.8807603
3259.8	-2.6746602
3259.85	-2.4298748
3259.9	-2.1609273
3259.95	-1.8673523
3260	-1.5634217
3260.05	-1.2467515
3260.1	-0.93953573
3260.15	-0.64781655
3260.2	-0.39511792
3260.25	-0.19771183
3260.3	-0.078152665
3260.35	-0.051124408
3260.4	-0.14626378
3260.45	-0.35686226
3260.5	-0.70478394
3260.55	-1.1729501
3260.6	-1.7732257
3260.65	-2.480411
3260.7	-3.2724906
3260.75	-4.1238341
3260.8	-5.0124
3260.85	-5.9157104
3260.9	-6.8208126
3260.95	-7.7103871
3261	-8.5685046
3261.05	-9.3825083
3261.1	-10.145303
3261.15	-10.849596
3261.2	-11.510765
3261.25	-12.135782
3261.3	-12.744863
3261.35	-13.328526
3261.4	-13.918606
3261.45	-14.499015
3261.5	-15.099647
3261.55	-15.730319
3261.6	-16.408472
3261.65	-17.11368
3261.7	-17.875513
3261.75	-18.682246
3261.8	-19.545313
3261.85	-20.463193
3261.9	-21.44113
3261.95	-22.467945
3262	-23.561713
3262.05	-24.717372
3262.1	-25.953365
3262.15	-27.270125
3262.2	-28.681864
3262.25	-30.194385
3262.3	-31.826059
3262.35	-33.568587
3262.4	-35.44937
3262.45	-37.441342
3262.5	-39.548615
3262.55	-41.71257
3262.6	-43.875254
3262.65	-45.894312
3262.7	-47.582598
3262.75	-48.631865
3262.8	-48.608928
3262.85	-46.883254
3262.9	-42.63522
3262.95	-34.808868
3263	-22.149303
3263.05	-3.2767307
3263.1	23.163627
3263.15	58.277156
3263.2	102.62543
3263.25	155.97867
3263.3	217.01968
3263.35	283.2972
3263.4	351.28335
3263.45	416.65832
3263.5	474.70415
3263.55	520.87454
3263.6	551.19975
3263.65	562.78297
3263.7	554.03375
3263.75	524.85346
3263.8	476.51989
3263.85	411.59298
3263.9	333.57788
3263.95	246.5969
3264	155.00368
3264.05	63.075438
3264.1	-25.316945
3264.15	-106.88553
3264.2	-179.12351
3264.25	-240.28044
3264.3	-289.40366
3264.35	-326.21504
3264.4	-351.04805
3264.45	-364.62666
3264.5	-368.03776
3264.55	-362.52972
3264.6	-349.49807
3264.65	-330.38072
3264.7	-306.63424
3264.75	-279.66839
3264.8	-250.8843
3264.85	-221.59945
3264.9	-193.03202
3264.95	-166.18937
3265	-141.90908
3265.05	-120.71955
3265.1	-102.89388
3265.15	-88.375754
3265.2	-76.87967
3265.25	-67.904527
3265.3	-60.859434
3265.35	-55.103869
3265.4	-50.116228
3265.45	-45.474852
3265.5	-40.933404
3265.55	-36.400918
3265.6	-31.926651
3265.65	-27.615261
3265.7	-23.631405
3265.75	-20.114884
3265.8	-17.199839
3265.85	-14.944596
3265.9	-13.36213
3265.95	-12.36427
3266	-11.836888
3266.05	-11.618574
3266.1	-11.56906
3266.15	-11.528544
3266.2	-11.340233
3266.25	-10.867541
3266.3	-10.001835
3266.35	-8.6489004
3266.4	-6.7624413
3266.45	-4.3244344
3266.5	-1.385796
3266.55	1.9503045
3266.6	5.5046714
3266.65	9.0932395
3266.7	12.463031
3266.75	15.419884
3266.8	17.770648
3266.85	19.400676
3266.9	20.262278
3266.95	20.40609
3267	19.968418
3267.05	19.167279
3267.1	18.230993
3267.15	17.390313
3267.2	16.80607
3267.25	16.559404
3267.3	16.603938
3267.35	16.834295
3267.4	17.069156
3267.45	17.131152
3267.5	16.858139
3267.55	16.186314
3267.6	15.113729
3267.65	13.75219
3267.7	12.248235
3267.75	10.801901
3267.8	9.586639
3267.85	8.770719
3267.9	8.4437187
3267.95	8.6304276
3268	9.3010176
3268.05	10.354846
3268.1	11.640503
3268.15	13.013972
3268.2	14.280224
3268.25	15.311006
3268.3	15.999707
3268.35	16.277571
3268.4	16.098881
3268.45	15.453863
3268.5	14.329259
3268.55	12.757661
3268.6	10.749958
3268.65	8.3571423
3268.7	5.6656859
3268.75	2.8107162
3268.8	-0.042872002
3268.85	-2.7202119
3268.9	-5.0740723
3268.95	-6.9512508
3269	-8.272835
3269.05	-8.9620881
3269.1	-9.024864
3269.15	-8.4857359
3269.2	-7.4248326
3269.25	-5.9229419
3269.3	-4.095684
3269.35	-2.0272922
3269.4	0.18130132
3269.45	2.4433256
3269.5	4.6495285
3269.55	6.717511
3269.6	8.5427808
3269.65	10.034798
3269.7	11.126218
3269.75	11.799281
3269.8	12.027198
3269.85	11.86502
3269.9	11.36573
3269.95	10.629404
3270	9.7492979
3270.05	8.8096572
3270.1	7.8512385
3270.15	6.9099816
3270.2	5.9743174
3270.25	5.0310687
3270.3	4.0247026
3270.35	2.9391139
3270.4	1.7216268
3270.45	0.34717073
3270.5	-1.1895463
3270.55	-2.8395155
3270.6	-4.5198555
3270.65	-6.1010942
3270.7	-7.4458877
3270.75	-8.4169154
3270.8	-8.9155723
3270.85	-8.854593
3270.9	-8.197888
3270.95	-6.929745
3271	-5.0874352
3271.05	-2.7008195
3271.1	0.15862551
