# Menlo Systems GmbH TERAScan++
# Program Version 1.0.96
# Start: 3242 ps, Average over 67108 waveforms. Timestamp: 2017-10-16T16:09:43
# Window type: Tukey, parameters: alpha = 0.1
# Time [ps]	THz Signal [a.u.]
3254.95	-1.1146067
3255	-1.1604013
3255.05	-1.1976037
3255.1	-1.2471527
3255.15	-1.2847617
3255.2	-1.3217241
3255.25	-1.3602467
3255.3	-1.40835
3255.35	-1.4487548
3255.4	-1.4985758
3255.45	-1.5474745
3255.5	-1.6050558
3255.55	-1.6580063
3255.6	-1.7116113
3255.65	-1.7579293
3255.7	-1.8176038
3255.75	-1.8625825
3255.8	-1.91965
3255.85	-1.9628524
3255.9	-2.0086793
3255.95	-2.0446084
3256	-2.0774875
3256.05	-2.0872665
3256.1	-2.0713952
3256.15	-2.0144856
3256.2	-1.9157973
3256.25	-1.75265
3256.3	-1.5358283
3256.35	-1.2652928
3256.4	-0.93434984
3256.45	-0.55768686
3256.5	-0.15847402
3256.55	0.26236869
3256.6	0.67114771
3256.65	1.0628253
3256.7	1.3920375
3256.75	1.6605684
3256.8	1.8554483
3256.85	1.9643244
3256.9	1.9752949
3256.95	1.9041706
3257	1.7447673
3257.05	1.5164089
3257.1	1.2234032
3257.15	0.88837513
3257.2	0.51399182
3257.25	0.12147842
3257.3	-0.27342745
3257.35	-0.64690352
3257.4	-1.0010944
3257.45	-1.3191525
3257.5	-1.6165333
3257.55	-1.8773866
3257.6	-2.0990233
3257.65	-2.2704771
3257.7	-2.4135633
3257.75	-2.5167177
3257.8	-2.5952786
3257.85	-2.6423638
3257.9	-2.6754262
3257.95	-2.6911715
3258	-2.703695
3258.05	-2.6952166
3258.1	-2.679217
3258.15	-2.6559736
3258.2	-2.6451951
3258.25	-2.6291418
3258.3	-2.6191941
3258.35	-2.6004746
3258.4	-2.5889617
3258.45	-2.563555
3258.5	-2.5459688
3258.55	-2.5223876
3258.6	-2.5090583
3258.65	-2.4931361
3258.7	-2.4889996
3258.75	-2.476438
3258.8	-2.4675562
3258.85	-2.4573543
3258.9	-2.4565434
3258.95	-2.4555011
3259	-2.4710955
3259.05	-2.4860169
3259.1	-2.5048459
3259.15	-2.5239897
3259.2	-2.5482976
3259.25	-2.5650466
3259.3	-2.5850958
3259.35	-2.6036293
3259.4	-2.6185292
3259.45	-2.6222178
3259.5	-2.6237271
3259.55	-2.6147907
3259.6	-2.6062382
3259.65	-2.5967893
3259.7	-2.6028412
3259.75	-2.6023218
3259.8	-2.6023505
3259.85	-2.6044219
