# Menlo Systems GmbH TERAScan++
# Program Version 1.0.96
# Start: 3242 ps, Average over 67108 waveforms. Timestamp: 2017-10-16T15:20:57
# Window type: Tukey, parameters: alpha = 0.1
# Time [ps]	THz Signal [a.u.]
3255	-2.5020517
3255.05	-2.6054585
3255.1	-2.6825383
3255.15	-2.7264224
3255.2	-2.7424711
3255.25	-2.7351637
3255.3	-2.7261727
3255.35	-2.7005901
3255.4	-2.6819357
3255.45	-2.6575177
3255.5	-2.6517114
3255.55	-2.6442767
3255.6	-2.6413567
3255.65	-2.6353844
3255.7	-2.6377705
3255.75	-2.6264463
3255.8	-2.6184549
3255.85	-2.6052261
3255.9	-2.5960019
3255.95	-2.5808395
3256	-2.5652051
3256.05	-2.5494456
3256.1	-2.545603
3256.15	-2.5498958
3256.2	-2.5694125
3256.25	-2.5837481
3256.3	-2.6033994
3256.35	-2.6189037
3256.4	-2.6432094
3256.45	-2.6538201
3256.5	-2.6722872
3256.55	-2.685194
3256.6	-2.6972386
3256.65	-2.7017329
3256.7	-2.7090631
3256.75	-2.7044301
3256.8	-2.6998102
3256.85	-2.6950662
3256.9	-2.6982186
3256.95	-2.6981604
3257	-2.7044032
3257.05	-2.7076993
3257.1	-2.7186861
3257.15	-2.7265206
3257.2	-2.7464966
3257.25	-2.7696758
3257.3	-2.8055449
3257.35	-2.8325904
3257.4	-2.8803222
3257.45	-2.9343246
3257.5	-3.0019901
3257.55	-3.0689439
3257.6	-3.1458617
3257.65	-3.225364
3257.7	-3.3044706
3257.75	-3.3817804
3257.8	-3.4666169
3257.85	-3.5436235
3257.9	-3.6213085
3257.95	-3.6798652
3258	-3.7272914
3258.05	-3.7456421
3258.1	-3.7379413
3258.15	-3.6841445
3258.2	-3.594659
3258.25	-3.4550357
3258.3	-3.2830053
3258.35	-3.0657947
3258.4	-2.8143407
3258.45	-2.5340149
3258.5	-2.2304895
3258.55	-1.9045674
3258.6	-1.5816721
3258.65	-1.2590793
3258.7	-0.95845925
3258.75	-0.69137951
3258.8	-0.49020761
3258.85	-0.35309906
3258.9	-0.32203896
3258.95	-0.40806781
3259	-0.62894508
3259.05	-0.98260392
3259.1	-1.4685009
3259.15	-2.0850512
3259.2	-2.81364
3259.25	-3.6352262
3259.3	-4.5254552
3259.35	-5.457043
3259.4	-6.4105864
3259.45	-7.347117
3259.5	-8.2671864
3259.55	-9.1313816
3259.6	-9.9600598
3259.65	-10.729174
3259.7	-11.452254
3259.75	-12.121168
3259.8	-12.764316
3259.85	-13.375285
3259.9	-13.972813
3259.95	-14.566497
3260	-15.182516
3260.05	-15.81089
3260.1	-16.48452
3260.15	-17.197172
3260.2	-17.96978
3260.25	-18.78417
3260.3	-19.659882
3260.35	-20.583961
3260.4	-21.564198
3260.45	-22.59745
3260.5	-23.694021
3260.55	-24.847262
3260.6	-26.062743
3260.65	-27.349894
3260.7	-28.71372
3260.75	-30.152313
3260.8	-31.682119
3260.85	-33.309971
3260.9	-35.064201
3260.95	-36.931607
3261	-38.912172
3261.05	-40.976313
3261.1	-43.094003
3261.15	-45.179478
3261.2	-47.123048
3261.25	-48.712978
3261.3	-49.641972
3261.35	-49.452255
3261.4	-47.520407
3261.45	-42.996486
3261.5	-34.792917
3261.55	-21.606464
3261.6	-2.0047645
3261.65	25.449721
3261.7	61.93135
3261.75	108.08179
3261.8	163.69223
3261.85	227.45197
3261.9	296.8069
3261.95	368.07474
3262	436.68298
3262.05	497.64668
3262.1	546.08208
3262.15	577.79216
3262.2	589.6679
3262.25	580.05918
3262.3	548.84641
3262.35	497.46682
3262.4	428.65895
3262.45	346.1876
3262.5	254.44382
3262.55	158.07139
3262.6	61.557189
3262.65	-31.005872
3262.7	-116.20292
3262.75	-191.39815
3262.8	-254.83959
3262.85	-305.57339
3262.9	-343.38761
3262.95	-368.64262
3263	-382.17873
3263.05	-385.14515
3263.1	-378.9006
3263.15	-364.88406
3263.2	-344.60923
3263.25	-319.57281
3263.3	-291.26568
3263.35	-261.11529
3263.4	-230.50001
3263.45	-200.66947
3263.5	-172.70623
3263.55	-147.46436
3263.6	-125.53212
3263.65	-107.15079
3263.7	-92.27135
3263.75	-80.561576
3263.8	-71.502595
3263.85	-64.422095
3263.9	-58.662201
3263.95	-53.61535
3264	-48.854419
3264.05	-44.109149
3264.1	-39.325835
3264.15	-34.533884
3264.2	-29.894196
3264.25	-25.577261
3264.3	-21.785487
3264.35	-18.634185
3264.4	-16.195439
3264.45	-14.45654
3264.5	-13.356007
3264.55	-12.756078
3264.6	-12.511602
3264.65	-12.436009
3264.7	-12.363758
3264.75	-12.111914
3264.8	-11.560161
3264.85	-10.582771
3264.9	-9.1063002
3264.95	-7.0617934
3265	-4.4524114
3265.05	-1.3053732
3265.1	2.2455745
3265.15	6.0476906
3265.2	9.8619658
3265.25	13.461397
3265.3	16.599372
3265.35	19.080835
3265.4	20.761431
3265.45	21.610813
3265.5	21.673935
3265.55	21.113206
3265.6	20.146476
3265.65	19.044921
3265.7	18.056852
3265.75	17.370224
3265.8	17.060319
3265.85	17.118599
3265.9	17.401021
3265.95	17.71741
3266	17.849987
3266.05	17.634865
3266.1	16.972084
3266.15	15.870291
3266.2	14.426987
3266.25	12.817976
3266.3	11.243878
3266.35	9.9299691
3266.4	9.0385769
3266.45	8.6704387
3266.5	8.8506333
3266.55	9.5517627
3266.6	10.650777
3266.65	12.002565
3266.7	13.416593
3266.75	14.734751
3266.8	15.792529
3266.85	16.477941
3266.9	16.711371
3266.95	16.478821
3267	15.752907
3267.05	14.547496
3267.1	12.874324
3267.15	10.762204
3267.2	8.2555797
3267.25	5.4591117
3267.3	2.4848311
3267.35	-0.47347133
3267.4	-3.2504604
3267.45	-5.6690899
3267.5	-7.5813285
3267.55	-8.8721468
3267.6	-9.5071378
3267.65	-9.4711364
3267.7	-8.808691
3267.75	-7.5866678
3267.8	-5.9137153
3267.85	-3.8902518
3267.9	-1.6317505
3267.95	0.76429914
3268	3.1957113
3268.05	5.5611378
3268.1	7.7706568
3268.15	9.7242565
3268.2	11.318354
3268.25	12.485608
3268.3	13.190486
3268.35	13.432927
3268.4	13.255092
3268.45	12.730543
3268.5	11.956375
3268.55	11.049971
3268.6	10.079132
3268.65	9.1202188
3268.7	8.1875913
3268.75	7.2983774
3268.8	6.4015681
3268.85	5.4782136
3268.9	4.4677692
3268.95	3.3231286
3269	1.9991687
3269.05	0.51403936
3269.1	-1.1061681
3269.15	-2.7575762
3269.2	-4.3384256
3269.25	-5.7010713
3269.3	-6.731985
3269.35	-7.33289
3269.4	-7.4773847
3269.45	-7.1577236
3269.5	-6.4268334
3269.55	-5.3623216
3269.6	-4.0723173
3269.65	-2.6574209
3269.7	-1.2400447
3269.75	0.11927083
3269.8	1.3601172
3269.85	2.4810416
3269.9	3.4836119
3269.95	4.408951
3270	5.2552654
3270.05	6.0339288
3270.1	6.6971595
3270.15	7.2260712
3270.2	7.5549514
3270.25	7.6667016
3270.3	7.525799
3270.35	7.1603207
3270.4	6.5999515
3270.45	5.9067689
3270.5	5.1180258
3270.55	4.2908434
3270.6	3.4635304
3270.65	2.6456609
3270.7	1.8075075
3270.75	0.92468105
3270.8	-0.062166151
3270.85	-1.2023848
3270.9	-2.5599573
3270.95	-4.1385889
3271	-5.9446995
3271.05	-7.9126012
3271.1	-9.9656878
3271.15	-11.978259
3271.2	-13.826082
3271.25	-15.319378
3271.3	-16.33153
3271.35	-16.737191
3271.4	-16.457777
3271.45	-15.475354
3271.5	-13.836176
3271.55	-11.634708
3271.6	-9.0295933
3271.65	-6.1735285
3271.7	-3.2619761
3271.75	-0.43100011
3271.8	2.1582719
3271.85	4.3930469
3271.9	6.1841502
3271.95	7.4861995
3272	8.2677534
3272.05	8.5743739
3272.1	8.4729658
3272.15	8.0705497
3272.2	7.4560494
3272.25	6.7200786
3272.3	5.9251114
3272.35	5.1411946
3272.4	4.3751965
3272.45	3.6368082
3272.5	2.900566
3272.55	2.1597021
3272.6	1.3798199
3272.65	0.54857423
3272.7	-0.35657701
3272.75	-1.322099
3272.8	-2.3359868
3272.85	-3.3353388
3272.9	-4.3037553
3272.95	-5.1752525
3273	-5.9039895
3273.05	-6.4177447
3273.1	-6.7005552
3273.15	-6.6941541
3273.2	-6.3833544
3273.25	-5.744885
3273.3	-4.7928223
3273.35	-3.5151045
3273.4	-1.9423533
3273.45	-0.091057532
3273.5	1.9543346
3273.55	4.122893
3273.6	6.2708598
3273.65	8.26025
3273.7	9.9349273
3273.75	11.150856
3273.8	11.767796
3273.85	11.715649
3273.9	10.972627
3273.95	9.5903626
3274	7.6955788
3274.05	5.4803477
3274.1	3.1636325
3274.15	1.0008131
3274.2	-0.77663983
3274.25	-1.9897422
3274.3	-2.5682915
3274.35	-2.4906547
3274.4	-1.8721503
3274.45	-0.86227713
3274.5	0.31049091
3274.55	1.4327245
3274.6	2.2991258
3274.65	2.7808549
3274.7	2.803051
3274.75	2.3931251
3274.8	1.6386149
3274.85	0.69906661
3274.9	-0.25145899
3274.95	-1.0215103
3275	-1.4764986
3275.05	-1.5212927
3275.1	-1.1411773
3275.15	-0.35188669
3275.2	0.75575751
3275.25	2.0917169
3275.3	3.5214155
3275.35	4.9581696
3275.4	6.2843723
3275.45	7.4243836
3275.5	8.3004961
3275.55	8.8796761
3275.6	9.1033652
3275.65	8.9529819
3275.7	8.4324568
3275.75	7.5880493
3275.8	6.505708
3275.85	5.3151896
3275.9	4.1441296
3275.95	3.1266488
3276	2.3677012
3276.05	1.9529867
3276.1	1.8605932
3276.15	2.0471461
3276.2	2.3686835
3276.25	2.680982
3276.3	2.7899536
3276.35	2.5665634
3276.4	1.9015
3276.45	0.80578491
3276.5	-0.66413707
3276.55	-2.3392264
3276.6	-4.045952
3276.65	-5.569624
3276.7	-6.7416613
3276.75	-7.4180516
3276.8	-7.5344416
3276.85	-7.0523678
3276.9	-6.0057505
3276.95	-4.4384068
3277	-2.4399452
3277.05	-0.10047547
3277.1	2.447404
3277.15	5.0809971
3277.2	7.6194363
3277.25	9.8905866
3277.3	11.700399
3277.35	12.890258
3277.4	13.333521
3277.45	12.994796
3277.5	11.882983
3277.55	10.142412
3277.6	7.9627145
3277.65	5.6104181
3277.7	3.3508967
3277.75	1.4670215
3277.8	0.13074516
3277.85	-0.55618275
3277.9	-0.63764678
3277.95	-0.25227755
3278	0.36078207
3278.05	0.94943463
3278.1	1.2337486
3278.15	1.0507359
3278.2	0.29540493
3278.25	-0.97189767
3278.3	-2.6135472
3278.35	-4.3854799
3278.4	-6.0437984
3278.45	-7.3179191
3278.5	-8.0082945
3278.55	-7.9648537
3278.6	-7.1476818
3278.65	-5.5781729
3278.7	-3.388096
3278.75	-0.7392241
3278.8	2.133888
3278.85	5.0014621
3278.9	7.6076055
3278.95	9.7635654
3279	11.296609
3279.05	12.126909
3279.1	12.206609
3279.15	11.578086
